File,Requests per Second,Transfer Rate
1005-test-10mb-c100.txt,684.0,6679887.09
1005-test-10mb-c100.txt,694.3,6780397.89
1005-test-10mb-c100.txt,679.59,6636770.19
1005-test-10mb-c100.txt,662.39,6468845.85
1005-test-10mb-c100.txt,690.6,6744337.45
1005-test-10mb-c100.txt,685.16,6691191.79
1005-test-10mb-c100.txt,687.44,6713491.74
1005-test-10mb-c100.txt,683.98,6679686.06
1005-test-10mb-c100.txt,685.69,6696385.52
1005-test-10mb-c100.txt,682.77,6667860.15
1005-test-10mb-c100.txt,679.66,6637460.34
1005-test-10mb-c100.txt,687.55,6714502.62
